product_id,category,brand,product_name,review_count,price,main_ingredients,top_good_keywords,top_bad_keywords
etude_skin_1,skin,etude,수분가득 콜라겐 시트 마스크 25ml,504,2500,"히알루론산, 나이아신아마이드, 판테놀, 베타글루칸","지속력좋아요, 커버력, 가볍워요, 화사해져요","건조해요, 발색약해요, 비싸요"
etude_eye_2,eye,etude,드로잉 아이 브로우 0.25g,5504,3400,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈","촉촉해요, 발색좋아요, 가성비, 순해요","지워져요, 번져요, 무거워요"
etude_eye_3,eye,etude,왓츠 인 마이 아이즈,1962,5400,"히알루론산, 나이아신아마이드, 판테놀, 베타글루칸","지속력좋아요, 커버력, 가볍워요, 화사해져요","끈적여요, 향강해요, 자극있어요"
etude_eye_4,eye,etude,오마이 라인,133,6400,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈","지속력좋아요, 커버력, 가볍워요, 화사해져요","끈적여요, 향강해요, 자극있어요"
etude_eye_5,eye,etude,아이돌 리얼 래쉬 픽서 8ml,539,8000,"정제수, 글리세린, 프로판다이올, 디프로필렌글라이콜","촉촉해요, 발색좋아요, 가성비, 순해요","지워져요, 번져요, 무거워요"
laneige_skin_1,skin,laneige,워터뱅크 블루 히알루로닉 에센스,2834,35000,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈","지속력좋아요, 커버력, 가볍워요, 화사해져요","지워져요, 번져요, 무거워요"
laneige_skin_2,skin,laneige,크림 스킨 토너,4521,28000,"히알루론산, 나이아신아마이드, 판테놀, 베타글루칸","흡수빨라요, 끈적임없어요, 향좋아요, 피부진정","끈적여요, 향강해요, 자극있어요"
laneige_lip_1,lip,laneige,립 슬리핑 마스크,8932,24000,"정제수, 글리세린, 프로판다이올, 디프로필렌글라이콜","지속력좋아요, 커버력, 가볍워요, 화사해져요","지워져요, 번져요, 무거워요"
sulwhasoo_skin_1,skin,sulwhasoo,자음생 에센스,1245,180000,"정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올","촉촉해요, 발색좋아요, 가성비, 순해요","건조해요, 발색약해요, 비싸요"
sulwhasoo_skin_2,skin,sulwhasoo,윤조에센스,3421,95000,"흑색산화철, 하이드로제네이티드돌콩오일, 하이드로제네이티드코코-글리세라이즈","지속력좋아요, 커버력, 가볍워요, 화사해져요","건조해요, 발색약해요, 비싸요"
iope_base_1,base,iope,에어쿠션 선크림,5234,42000,"정제수, 하이드롤라이즈드콜라겐, 부틸렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올","지속력좋아요, 커버력, 가볍워요, 화사해져요","끈적여요, 향강해요, 자극있어요"
iope_skin_1,skin,iope,바이오 에센스 인텐시브 컨디셔닝,2893,65000,"히알루론산, 나이아신아마이드, 판테놀, 베타글루칸","흡수빨라요, 끈적임없어요, 향좋아요, 피부진정","건조해요, 발색약해요, 비싸요"
hera_lip_1,lip,hera,센슈얼 누드 글로스,1823,32000,"정제수, 글리세린, 프로판다이올, 디프로필렌글라이콜","촉촉해요, 발색좋아요, 가성비, 순해요","건조해요, 발색약해요, 비싸요"
hera_base_1,base,hera,블랙 쿠션,6721,48000,"히알루론산, 나이아신아마이드, 판테놀, 베타글루칸","흡수빨라요, 끈적임없어요, 향좋아요, 피부진정","끈적여요, 향강해요, 자극있어요"
