text_id,source,text_content,tone_features
hera_tone_001,product_desc,당신의 아름다움을 완성하는 헤라 BLACK CUSHION. 트렌드를 선도하는 메이크업의 새로운 기준을 경험하십시오.,"격식체, 세련된_표현, 영문_혼용, 프로페셔널"
hera_tone_002,product_desc,SENSUAL 립스틱 컬렉션으로 완성되는 우아한 립 메이크업. 당신만의 시그니처 컬러를 발견하고 세련된 매력을 표현하십시오.,"격식체, 영문_혼용, 우아함_강조, 개성_존중"
hera_tone_003,product_desc,시그니아 세럼이 선사하는 프리미엄 안티에이징 솔루션. 피부 본연의 탄력과 광채를 되찾아 젊고 건강한 피부로 가꿔드립니다.,"격식체, 프리미엄_강조, 전문성, 효능_명확"
hera_tone_004,product_desc,HD 파우더 팩트로 완성하는 정밀한 피부 표현. 미세한 입자가 결점을 커버하며 매끄럽고 화사한 피부를 연출합니다.,"격식체, 기술_강조, 세련된_표현, 전문성"
hera_tone_005,product_desc,도시 여성의 라이프스타일을 이해하는 헤라. 완벽한 커버력과 지속력으로 당신의 바쁜 하루를 우아하게 책임집니다.,"격식체, 타겟_명확, 라이프스타일_연계, 프로페셔널"
hera_tone_006,product_desc,UV 미스트 쿠션이 제공하는 완벽한 자외선 차단과 수분감. 피부를 보호하면서도 자연스러운 윤광 피부를 선사합니다.,"격식체, 다기능_강조, 세련된_표현, 영문_혼용"
hera_tone_007,product_desc,블랙 파운데이션의 세미 매트 피니시가 완성하는 고급스러운 피부 표현. 가볍게 밀착되어 편안한 착용감과 함께 완벽한 메이크업을 유지합니다.,"격식체, 영문_혼용, 럭셔리_강조, 세련됨"
hera_tone_008,product_desc,셀 에센스로 피부 재생을 경험하십시오. 피부 세포 본연의 힘을 강화하여 건강하고 탄력있는 피부로 되돌려 드립니다.,"격식체, 과학적_표현, 전문성, 프리미엄"
hera_tone_009,sns,"헤라와 함께하는 세련된 일상. BLACK CUSHION으로 완성한 오늘의 메이크업, 당신의 자신감을 표현하는 완벽한 선택입니다.","격식체, SNS_적응, 영문_혼용, 세련됨_유지"
hera_tone_010,sns,"SENSUAL 립스틱으로 완성되는 프로페셔널한 룩. 중요한 미팅에도, 특별한 저녁에도 당신의 우아함을 빛나게 합니다.","격식체, 상황_구체화, 영문_혼용, 우아함_강조"
hera_tone_011,sns,트렌드를 선도하는 헤라의 2024 컬렉션. 당신만의 스타일을 완성할 새로운 컬러와 텍스처를 만나보십시오.,"격식체, 트렌드_강조, 개성_존중, 시즌_언급"
hera_tone_012,sns,헤라가 제안하는 모던 뷰티. 세련된 색감과 완벽한 발림성으로 당신의 아름다움을 한 단계 높여드립니다.,"격식체, 현대적_감각, 세련된_표현, 품질_강조"
hera_tone_013,sns,시그니아 라인으로 시작하는 프리미엄 안티에이징 케어. 당신의 피부에 젊음과 생기를 되돌려 드리는 헤라의 약속입니다.,"격식체, 프리미엄_강조, 브랜드_약속, 전문성"
hera_tone_014,promo,헤라 블랙 컬렉션 스페셜 오퍼. 시그니처 제품을 특별한 혜택과 함께 만나보실 수 있는 기회입니다. 프리미엄 뷰티를 경험하십시오.,"격식체, 프로모션_고급화, 영문_혼용, 특별함_강조"
hera_tone_015,promo,센슈얼 립스틱 2종 구매 시 엘레강트 파우치 증정. 당신의 럭셔리 라이프스타일을 완성할 특별한 혜택을 놓치지 마십시오.,"격식체, 럭셔리_강조, 영문_혼용, 프리미엄_기프트"
