review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
etude_eye_002_review_001,10대,F,복합성,"민감함, 피지",5,베이킹 파우더 클렌징 모공 싹 정리해줘요! 세안 후 피부 반짝반짝하고 깨끗해요✨ 리필 각!,False
etude_eye_002_review_002,20대,F,민감성,속건조,5,마스카라 진짜 잘 발리고 뭉침 없어요! 컬도 오래 유지되고 가성비 갑ㅠㅠ 완전 만족💙,False
etude_eye_002_review_003,10대,F,민감성,"피지, 번들거림",5,아르바이트 갈때 꼭 쓰는데 하루종일 유지돼서 좋아요! 가성비도 완전 굿👌,True
etude_eye_002_review_004,10대,F,민감성,칙칙함,5,립틴트 완전 촉촉해요! 마스크 써도 안묻어나서 완전 편해요😊 색도 넘 예쁨ㅜㅜ,False
etude_eye_002_review_005,20대,F,복합성,건조,5,아르바이트 갈때 꼭 쓰는데 하루종일 유지돼서 좋아요! 가성비도 완전 굿👌,True
etude_eye_002_review_006,20대,F,지성,피지,5,클렌징폼 거품이 몽글몽글하고 세안 후에 당기지 않아서 좋아요! 민감한 피부도 괜찮을듯👌,False
etude_eye_002_review_007,10대,F,모든피부,"민감함, 속건조",5,MT 갈때 챙겨갔는데 대박 유용했어요! 밤새도 안지워져서 완전 신기함✨,True
etude_eye_002_review_008,10대,F,건성,"민감함, 번들거림",5,완전 예뻐요💕 발색도 좋고 지속력도 굿! 학교 갈때 쓰기 딱이에요👍,False
etude_eye_002_review_009,20대,F,복합성,"속건조, 칙칙함",4,아르바이트 갈때 꼭 쓰는데 하루종일 유지돼서 좋아요! 가성비도 완전 굿👌,True
etude_eye_002_review_010,10대,F,복합성,"칙칙함, 번들거림",5,립스틱 색감 완전 예쁘고 촉촉해요💄 MLBB로 쓰기 딱 좋고 친구 만날때 항상 발라요!,False
etude_eye_002_review_011,20대,F,복합성,"번들거림, 민감함",5,쿠션 커버력 좋아요! 피부톤도 환하게 만들어주고 지속력도 좋아서 데일리로 쓰기 좋음✨,False
etude_eye_002_review_012,20대,F,건성,번들거림,5,완전 예뻐요💕 발색도 좋고 지속력도 굿! 학교 갈때 쓰기 딱이에요👍,False
