review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
etude_base_003_review_001,10대,F,모든피부,번들거림,4,클렌징폼 거품이 몽글몽글하고 세안 후에 당기지 않아서 좋아요! 민감한 피부도 괜찮을듯👌,False
etude_base_003_review_002,20대,F,지성,모공,4,아이라이너 진짜 얇게 잘 그려져요! 초보도 쉽게 쓸 수 있고 번짐도 없어서 완전 강추👍,False
etude_base_003_review_003,10대,F,건성,각질,5,대박 이거 진짜 좋아요ㅠㅠ 가격도 저렴하고 퀄리티는 완전 좋음! 강추강추💖,False
etude_base_003_review_004,20대,F,모든피부,피지,5,아이섀도우 발색 미쳤어요✨ 여러개 사서 모으고싶을 정도로 예뻐요! 친구한테도 추천함💕,False
etude_base_003_review_005,10대,F,건성,"모공, 건조",3,수분크림 텍스처가 가볍고 끈적임 없어서 좋아요! 여름에 쓰기 완벽할듯💧 가격도 저렴함!,False
etude_base_003_review_006,10대,F,복합성,"피지, 각질",5,클렌징폼 거품이 몽글몽글하고 세안 후에 당기지 않아서 좋아요! 민감한 피부도 괜찮을듯👌,False
etude_base_003_review_007,20대,F,지성,건조,4,아이라이너 진짜 얇게 잘 그려져요! 초보도 쉽게 쓸 수 있고 번짐도 없어서 완전 강추👍,False
etude_base_003_review_008,20대,F,건성,속건조,4,립틴트 완전 촉촉해요! 마스크 써도 안묻어나서 완전 편해요😊 색도 넘 예쁨ㅜㅜ,False
etude_base_003_review_009,10대,F,복합성,각질,4,아이라이너 진짜 얇게 잘 그려져요! 초보도 쉽게 쓸 수 있고 번짐도 없어서 완전 강추👍,False
etude_base_003_review_010,20대,F,모든피부,"속건조, 건조",4,아르바이트 갈때 꼭 쓰는데 하루종일 유지돼서 좋아요! 가성비도 완전 굿👌,True
etude_base_003_review_011,20대,F,모든피부,칙칙함,5,아르바이트 갈때 꼭 쓰는데 하루종일 유지돼서 좋아요! 가성비도 완전 굿👌,True
etude_base_003_review_012,20대,F,민감성,모공,4,마스카라 진짜 잘 발리고 뭉침 없어요! 컬도 오래 유지되고 가성비 갑ㅠㅠ 완전 만족💙,False
