text_id,source,text_content,tone_features
sulwhasoo_tone_001,product_desc,고객님의 피부에 자음의 힘을 선사합니다. 오랜 세월 이어온 한방 비법으로 피부 본연의 생명력을 회복시켜 드립니다.,"한자어_사용, 격식_높음, 전통_이미지, 존경어"
sulwhasoo_tone_002,product_desc,윤조 에센스가 담아낸 50년 한방 발효 기술의 정수. 귀한 자음단 성분이 피부 깊숙이 침투하여 건강한 피부로 가꿔드립니다.,"한자어_사용, 전통_강조, 격식체, 프리미엄"
sulwhasoo_tone_003,product_desc,진설 크림으로 경험하는 궁극의 안티에이징. 희귀한 한방 원료가 피부 노화를 근본부터 케어하여 젊음을 되찾아 드립니다.,"한자어_사용, 최고급_강조, 격식체, 한방_이미지"
sulwhasoo_tone_004,product_desc,산삼과 자음단이 빚어낸 프리미엄 한방 케어. 피부 장벽을 강화하고 깊은 영양을 공급하여 윤기 있는 피부로 완성시켜 드립니다.,"한방_성분_강조, 격식체, 고급스러움, 효능_명확"
sulwhasoo_tone_005,product_desc,순행 클렌징으로 시작하는 피부 정화의 첫걸음. 한방 성분이 노폐물을 제거하고 피부 순환을 도와 맑고 건강한 피부를 유지시켜 드립니다.,"한자어_사용, 격식체, 한방_철학, 순환_개념"
sulwhasoo_tone_006,product_desc,탄력 에센스가 선사하는 피부 탄력 회복의 비밀. 인삼과 녹용의 귀한 영양이 처진 피부를 탄탄하게 끌어올려 드립니다.,"한방_성분_강조, 격식체, 귀함_강조, 효능_구체화"
sulwhasoo_tone_007,product_desc,자음생 아이크림으로 눈가에 특별한 영양을. 산삼과 자음단이 눈가 주름과 다크서클을 개선하여 젊고 생기있는 눈매를 완성합니다.,"한자어_사용, 격식체, 프리미엄, 부위_특화"
sulwhasoo_tone_008,product_desc,옥용 마스크로 피부에 집중 영양을 공급하십시오. 밤사이 한방 성분이 깊숙이 흡수되어 다음날 맑고 윤기 나는 피부로 가꿔드립니다.,"한자어_사용, 격식_높음, 수면_케어, 고급스러움"
sulwhasoo_tone_009,sns,설화수와 함께하는 품격 있는 뷰티 루틴. 자음생 라인으로 피부 본연의 생명력을 일깨우고 건강한 아름다움을 가꾸십시오.,"격식_유지, 품격_강조, 한자어_사용, SNS_적응"
sulwhasoo_tone_010,sns,윤조 에센스가 만들어내는 윤기 나는 피부. 50년 전통의 한방 발효 기술이 담긴 설화수의 대표 에센스를 경험하십시오.,"전통_강조, 격식체, 대표_제품_홍보, 권위"
sulwhasoo_tone_011,sns,진설 라인으로 완성하는 최상급 안티에이징 케어. 희소한 한방 원료가 선사하는 젊음의 비밀을 만나보십시오.,"최고급_강조, 격식체, 희소성_강조, 한방_이미지"
sulwhasoo_tone_012,sns,고객님의 피부를 위한 설화수의 정성. 귀한 한방 원료와 전통 발효 기술이 만나 건강하고 아름다운 피부를 선사합니다.,"고객_존중, 격식_높음, 정성_강조, 전통_기술"
sulwhasoo_tone_013,sns,세월이 흘러도 변치 않는 아름다움. 설화수 탄력 라인이 피부 탄력을 회복시켜 나이를 거스르는 피부로 가꿔드립니다.,"격식체, 시간_초월_개념, 안티에이징_강조, 품격"
sulwhasoo_tone_014,promo,설화수 자음생 컬렉션 특별 기획. 프리미엄 한방 케어를 특별한 혜택과 함께 경험하실 수 있는 귀한 기회입니다. 이 기회를 놓치지 마십시오.,"격식_높음, 프리미엄_강조, 귀함_표현, 특별함"
sulwhasoo_tone_015,promo,윤조 에센스 본품 구매 시 럭셔리 기획 세트 증정. 설화수가 준비한 특별한 선물로 고객님의 피부에 더 깊은 영양을 선사해 드립니다.,"격식체, 럭셔리_강조, 고객_존중, 선물_개념"
