brand,platform,tone_text
etude,instagram,"눈썹 그리기 어려운 사람 집중!!!୧(•̀ө•́)୨
더욱더 섬세하게 눈썹 메이크오버 할 수 있는
컨트롤 슬라이드 삼면 브로우🤎🩶🖤

👉🏻유니크한 슬라이드 타입+삼면 디자인으로
선부터 면까지 손쉽게 조절된답니다😎✍🏻

☝🏻세워서 선으로 & ✌🏻눕혀서 면으로
쉽게 자연스럽게 완성해주니까
눈썹 초보도 부담 없이 쓰기 좋다궁 🫶🏻

⋅˚₊‧ 𐙚 ‧₊˚ ⋅⋅˚₊‧ 𐙚 ‧₊˚ ⋅⋅˚₊‧ 𐙚

📌 #컨트롤슬라이드브로우 OPEN D-day 🎉
지금 올영 온라인에서 구매 리뷰 이벤트 진행 중 🎁
지금 바로 만나보세요 💖"
etude,instagram,"어라? 여기 샵 아니었나…? ✨
선? 면? 결? 하나로 다 되는 🤎삼면브로우🤎
5가지 마일드 컬러로
데일리 샵브로우 완성 ⸜(･ิᴗ･ิ๑)⸝
⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉⑉

✔️01.01 – 01.05
올영 온라인 구매 리뷰 이벤트도
♡◟( ˘ ³˘)◞ ♡ 놓치면 안 돼요 ༉‧₊˚✧"
etude,instagram,"너무 귀여워서 앙! 깨물고 싶은🐶
에뛰드의 신상들 ( ՞ෆ ̫ ෆ՞ )
진짜 쿠키로 탄생🍪💝
어떤 제품이 제일 마음에 들어?"
etude,instagram,"#𝗘𝗩𝗘𝗡𝗧 소원을 말해봐🧚🏻‍♂️🪄
🍾 2026년까지 𝗗-𝟱 🥳
새해에 꼭 이루고 싶은 소원을
요기요기 댓글로 적어줘 ✍🏻📋

🎀총 다섯 명의 뛰걸들에게✋🏻
에뛰드가 준비한 새해 선물을 보내줄게"
etude,instagram,"겨울엔 역시 블러 틴트❄️💞
뛰걸들이 애정애정하는 ദ്ദി(｡•̀ ,<)~✩‧₊
#포근픽싱틴트 발색 보여줄게에🎨

📍올리브영
✔️포근 픽싱 틴트(14 colors) 🏷️𝟣𝟨,𝟢𝟢𝟢원→ 𝟭𝟮,𝟰𝟮𝟬원
✔️➕미니 립 펜슬 기획 set 🏷️𝟣𝟨,𝟢𝟢𝟢원→ 𝟭𝟮,𝟰𝟮𝟬원
✔️➕진저슈가 립밤 기획 set 🏷️𝟤𝟥,𝟧𝟢𝟢원 → 𝟭𝟰,𝟵𝟬𝟬원"
etude,instagram,"블러셔 하나로 분위기 여신되는 법💗
슥-며드는 속광 블러셔 #콩콩블러셔 의
스폰지 팁으로 두 볼 위에 콩콩 두드려주면 끝🥳"
etude,instagram,"#올영세일 인기템들🏆 실제 발색 보여드림👀🔍
피부톤별로 다른 발색🌈 다들 궁금했지?
요 영상 참고해서 올영세일 막차 타보자구🚞💨💨💨

🔍 #왓츠인마이아이즈 ➕ 4구 공용기 🏆
𝟨,𝟢𝟢𝟢원 → 𝟰,𝟮𝟬𝟬원

🔍 #포근픽싱틴트➕ 진저슈가 에센셜 립밤
𝟤𝟥,𝟧𝟢𝟢원 → 𝟭𝟰,𝟰𝟲𝟬원"
etude,instagram,"🪀꼬옥 소리 켜고 들으세요🎧🔊
🎉2025 #올영어워즈 수상템 포함🥇
올영세일 추천템 #피젯보드 𝗔𝗦𝗠𝗥🚂"
etude,instagram,"☝🏻하나 말고 ✌🏻두 개🎶,
✌🏻두 개 말고 ✌🏻네 개✌🏻 갖고픈💖
요즘 최고 핫템❤️‍🔥 진저슈가 립 세럼✨✨

☑️13g 대용량에 ☑️통통 메가 팁으로
듬뿍듬뿍 바르기 얼마나 좋은지 몰라 ദ്ദി(៸៸›ᴗ‹៸៸ )

🔥초 인기템 #진저슈가립세럼 은
지금 올리브영에서 15% 할인 중🛍️🛒"
etude,instagram,"궁금했던 거 다〰️ 알아😎
라이즈의 𝘄𝗵𝗮𝘁’𝘀 𝗶𝗻 𝗺𝘆 𝗲𝘆𝗲𝘀 촬영 현장 비하인드🔍

빛나는 라이즈를 더욱 빛나게 했던
각 멤버들의 Secret item은 바로바로🥁🥁

🌟 원빈의 #레이디얼그레이
🌟 소희의 #단독주연안개꽃
🌟 앤톤의 #쿨타는쿨핑
🌟 은석의 #허니밀크
🌟 쇼타로의 #타로밀크티라구
🌟 성찬의 #카페라떼우유많이

한 톤, 반 톤 컬러의 온도 편차를
쏙쏙 집어내어✔️
나만의 톤에 착 붙는 톤℃로 구현 완료🙌🏻

👉🏻 올리브영에
#왓츠인마이아이즈 드볼 하러 가실 분?!

#에뛰드 #에뛰드신상 #라이즈 #에뛰드X라이즈 #톤도씨 #싱글섀도우 #쇼타로 #은석 #성찬 #원빈 #소희 #앤톤 #올영추천템 #올영섀도우 #ETUDE #RIIZE #ETUDExRIIZE #whatsinmyeyes #エチュード"
