product_id,product_name,category,price,description,main_ingredients,target_skin_type,review_count
etude_lip_001,디어 달링 워터 틴트,립,7000,물처럼 촉촉하게 발리는 워터 틴트! 입술에 쏙쏙 스며들어 건조함 없이 선명한 컬러를 오래오래 유지해줘요. 10대들이 가장 사랑하는 틴트 1위!,"히알루론산, 체리 추출물, 비타민E",모든피부,18543
etude_lip_002,픽싱 틴트,립,8500,한번 바르면 하루종일 지워지지 않는 마스크 프루프 틴트! 마스크에 안 묻어나서 진짜 편해요. 생생한 발색에 촉촉함까지 완벽 장착한 데일리 필수템!,"장미 오일, 호호바 오일, 컬러 픽싱 폴리머",모든피부,15234
etude_lip_003,글로우 온 하이드라 베이스,립,9000,립 메이크업 전 발라주면 각질 없이 매끈한 입술 완성! 촉촉한 보습막을 형성해서 립스틱 발색도 훨씬 예쁘게 만들어줘요. 입술 케어 필수템!,"시어버터, 아보카도 오일, 마카다미아 오일",건성,8923
etude_lip_004,베러 립스 톡 벨벳,립,10000,부드러운 벨벳 텍스처로 입술에 밀착되는 매트 립스틱! MLBB 컬러부터 비비드 컬러까지 다양한 컬러감으로 데일리부터 특별한 날까지 완벽 소화 가능!,"벨벳 파우더, 모이스처 캡슐, 비타민E",모든피부,12456
etude_eye_001,플레이 컬러 아이즈,아이,15000,"10가지 컬러로 무한 조합 가능한 아이섀도우 팔레트! 매트, 시머, 글리터까지 다양한 텍스처로 데일리 메이크업부터 파티 메이크업까지 이 하나면 OK!","진주 파우더, 미네랄 파우더, 비타민E",모든피부,23456
etude_eye_002,오 마이 아이 라이너,아이,6500,"0.1mm 극세모 펜촉으로 초보자도 쉽게 그릴 수 있는 아이라이너! 물, 땀, 눈물에도 번지지 않고 저녁까지 선명하게 유지돼요. 학생들 필수템!","블랙 카본 파우더, 필름 폴리머, 판테놀",모든피부,19823
etude_eye_003,러쉬 펌 컬 픽스 마스카라,아이,11000,아침에 올린 컬이 저녁까지 그대로! 펌한 것처럼 속눈썹을 세워주는 컬 고정 마스카라예요. 뭉침 없이 깔끔하게 발리고 인조 속눈썹처럼 풍성해져요!,"컬 픽싱 왁스, 풍성 섬유, 카멜리아 오일",모든피부,14567
etude_eye_004,룩 앳 마이 아이 카페,아이,5500,데일리 브라운 메이크업 필수템! 부드럽게 발리는 파우더 타입 섀도우로 자연스러운 음영 연출이 가능해요. 여러 개 사서 모아두고 싶은 귀여운 패키지!,"실크 파우더, 미네랄 안료, 마카다미아 오일",모든피부,11234
etude_base_001,순정 베베 쿠션,베이스,18000,아기 피부처럼 순하고 촉촉한 쿠션! 민감한 피부도 안심하고 쓸 수 있는 저자극 포뮬라로 피부 진정 케어까지 해줘요. 가볍게 발리는데 커버력도 완벽!,"병풀 추출물, 히알루론산, 나이아신아마이드",민감성,16789
etude_base_002,픽스 앤 픽스 톤업 프라이머,베이스,14000,메이크업 전 이것만 발라도 피부 톤이 화사하게! 핑크빛 프라이머가 칙칙한 피부톤을 환하게 만들어주고 메이크업 지속력도 높여줘요. 모공도 쏙!,"핑크 펄 파우더, 실리카, 알로에 베라",모든피부,13245
etude_base_003,더블 라스팅 파운데이션,베이스,16500,지속력이 진짜 미쳤어요! 아침에 바르면 저녁까지 무너짐 없이 완벽 유지되는 리퀴드 파운데이션. 피지 컨트롤 기능으로 지성 피부도 보송보송 유지 가능!,"세바시드 파우더, 히알루론산, 비타민E",지성,21345
etude_skin_001,순정 아이 크림,스킨케어,13000,10대도 눈가 관리 시작해야죠! 가볍고 촉촉한 제형으로 눈가에 쏙쏙 흡수되는 아이크림이예요. 피곤한 눈가를 생기있게 만들어주고 메이크업 전 베이스로도 완벽!,"히알루론산, 펩타이드, 카페인",모든피부,7823
etude_skin_002,순정 수분 크림,스킨케어,12000,무겁지 않고 가볍게 발리는 수분 크림! 끈적임 없이 촉촉하게 보습막을 형성해서 하루종일 촉촉한 피부를 유지시켜줘요. 민감한 피부도 OK!,"히알루론산, 판테놀, 베타글루칸",건성,9456
etude_clean_001,베이킹 파우더 모공 딥 클렌징 폼,클렌징,8000,베이킹 파우더가 모공 속 노폐물까지 쏙쏙 제거해줘요! 부드러운 거품이 피부에 자극 없이 깨끗하게 클렌징 해주고 세안 후에도 땅기지 않아 좋아요!,"베이킹 파우더, 아미노산 계면활성제, 알로에",지성,17234
etude_clean_002,몬스터 마일드 클렌징 워터,클렌징,10000,화장솜에 적셔서 닦아내기만 하면 메이크업이 싹! 물처럼 가벼운 클렌징 워터로 자극 없이 순하게 클렌징 해줘요. 민감한 피부도 안심하고 사용 가능!,"마이셀라 워터, 병풀 추출물, 히알루론산",민감성,14892
