product_id,product_name,category,price,description,main_ingredients,target_skin_type,review_count
hera_base_001,블랙 쿠션,베이스,65000,"헤라의 시그니처 블랙 쿠션입니다. 완벽한 커버력과 자연스러운 광채를 동시에 선사하며, 장시간 지속되는 밀착력으로 당신의 완벽한 하루를 책임집니다. 프로페셔널한 메이크업을 원하는 당신에게 추천합니다.","블랙 콤플렉스, 나이아신아마이드, 하이브리드 파우더",모든피부,32456
hera_base_002,블랙 파운데이션,베이스,58000,고급스러운 세미 매트 피니시로 완성되는 리퀴드 파운데이션입니다. 피부 결점을 자연스럽게 커버하면서도 가볍게 밀착되어 편안한 착용감을 제공합니다. 도시 여성의 우아함을 완성시켜 드립니다.,"블랙 콤플렉스, 세라마이드, 스킨핏 폴리머",복합성,18234
hera_base_003,UV 미스트 쿠션 울트라 모이스처,베이스,62000,촉촉한 수분감과 높은 자외선 차단 지수를 겸비한 프리미엄 쿠션입니다. 피부에 즉각적인 수분을 공급하며 자연스러운 윤광 피부를 연출합니다. SPF50+/PA+++로 당신의 피부를 완벽하게 보호합니다.,"히알루론산, UV 필터, 글로우 오일",건성,15678
hera_base_004,HD 퍼펙트 파우더 팩트,베이스,48000,피부 결점을 정밀하게 커버하는 HD 파우더 팩트입니다. 미세한 파우더 입자가 피부에 밀착되어 매끄럽고 화사한 피부 표현을 완성합니다. 메이크업 마무리와 수정에 모두 활용 가능합니다.,"HD 파우더, 실리카, 펄 파우더",지성,12345
hera_lip_001,센슈얼 스파이시 누드 밤,립,42000,헤라의 아이코닉한 립스틱 컬렉션입니다. 세련된 누드 컬러와 벨벳 텍스처가 당신의 입술을 우아하게 완성시킵니다. 스파이시하면서도 고급스러운 색감으로 프로페셔널한 룩을 연출합니다.,"스파이시 오일 콤플렉스, 시어버터, 비타민E",모든피부,28934
hera_lip_002,센슈얼 파우더 매트,립,40000,부드러운 파우더 매트 질감의 립스틱입니다. 입술에 가볍게 밀착되며 선명한 발색과 오래 지속되는 컬러감을 선사합니다. 세련된 여성의 자신감을 표현하는 완벽한 선택입니다.,"파우더 매트 폴리머, 호호바 오일, 비타민E",모든피부,24567
hera_lip_003,센슈얼 립 라이너,립,32000,정교한 립 라인을 완성하는 프로페셔널 립 라이너입니다. 부드럽게 그려지며 번짐 없이 오래 유지됩니다. 센슈얼 립스틱과 함께 사용하면 더욱 완벽한 립 메이크업을 연출할 수 있습니다.,"왁스 베이스, 비타민E, 컬러 픽싱 폴리머",모든피부,11234
hera_lip_004,센슈얼 립 세럼 글로스,립,38000,"입술에 즉각적인 영양과 광택을 부여하는 립 세럼 글로스입니다. 촉촉한 보습감과 함께 자연스러운 윤기를 연출하며, 단독 사용 또는 립스틱 위에 레이어링하여 사용 가능합니다.","립 세럼 콤플렉스, 아르간 오일, 히알루론산",건성,13890
hera_serum_001,시그니아 세럼,세럼,78000,피부 노화의 근본 원인에 집중하는 프리미엄 안티에이징 세럼입니다. 고농축 활성 성분이 피부 깊숙이 흡수되어 탄력과 윤기를 동시에 개선합니다. 당신의 피부를 젊고 건강하게 유지시켜 드립니다.,"시그니아 펩타이드, 레티놀, 나이아신아마이드",모든피부,19876
hera_serum_002,시그니아 아이 트리트먼트,세럼,68000,눈가의 잔주름과 다크서클을 집중 케어하는 아이 세럼입니다. 섬세한 눈가 피부에 영양과 탄력을 공급하여 젊고 생기있는 눈매를 완성합니다. 프리미엄 안티에이징 솔루션을 경험하십시오.,"아이 펩타이드 콤플렉스, 카페인, 히알루론산",모든피부,16543
hera_serum_003,UV 프로텍터 멀티 디펜스,세럼,52000,"강력한 자외선 차단과 피부 보호 기능을 겸비한 멀티 디펜스 세럼입니다. SPF50+/PA++++의 높은 차단 지수로 외부 환경으로부터 피부를 보호하며, 가볍고 촉촉한 사용감을 제공합니다.","UV 필터, 나이아신아마이드, 항산화 콤플렉스",모든피부,14234
hera_serum_004,셀 에센스,세럼,72000,피부 세포 재생을 촉진하는 고기능성 에센스입니다. 피부 본연의 힘을 강화하여 건강하고 탄력있는 피부로 가꿔줍니다. 프리미엄 성분이 응축된 럭셔리 스킨케어를 경험하십시오.,"셀 리뉴얼 콤플렉스, 펩타이드, 아데노신",복합성,17890
hera_skin_001,시그니아 크림,크림,80000,"헤라의 최고급 안티에이징 크림입니다. 풍부한 영양 성분이 피부에 즉각적인 탄력과 보습을 제공하며, 장시간 지속되는 효과로 당신의 피부를 젊고 건강하게 유지시켜 드립니다.","시그니아 펩타이드, 세라마이드, 스쿠알란",건성,21345
hera_skin_002,옴므 올인원 플루이드,남성케어,45000,"바쁜 남성을 위한 올인원 스킨케어 솔루션입니다. 가볍고 산뜻한 제형으로 피부에 빠르게 흡수되며, 수분과 영양을 동시에 공급합니다. 프로페셔널한 남성의 피부 관리를 완성시켜 드립니다.","옴므 콤플렉스, 카페인, 나이아신아마이드",복합성,13567
hera_skin_003,퓨어 클렌징 오일,클렌징,35000,메이크업과 피부 노폐물을 완벽하게 제거하는 고급 클렌징 오일입니다. 부드럽게 녹여내면서도 피부에 필요한 수분은 지켜주어 세안 후에도 촉촉함이 유지됩니다. 당신의 피부를 위한 퍼스트 스텝입니다.,"올리브 오일, 호호바 오일, 비타민E",모든피부,15789
