review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
hera_base_001_review_001,20대,F,건성,모공,4,블랙 쿠션 커버력과 지속력이 정말 우수합니다. 자연스러운 광채가 오래 유지되어 만족스러워요.,False
hera_base_001_review_002,40대,F,복합성,수분부족,5,센슈얼 립스틱 발색이 고급스럽고 색감이 세련됩니다. 질감도 부드러워서 입술이 편안해요.,False
hera_base_001_review_003,30대,F,건성,"피부톤, 주름",5,중요한 미팅이 있을 때 항상 사용합니다. 완벽한 메이크업으로 자신감이 생겨요.,True
hera_base_001_review_004,30대,F,지성,잔주름,5,시그니아 세럼 사용 후 피부 탄력이 개선되는 느낌입니다. 고농축 성분이 효과적이에요.,False
hera_base_001_review_005,30대,F,지성,"수분부족, 다크서클",4,선크림 백탁 없이 자연스럽게 발리고 차단 효과도 우수합니다. 데일리로 쓰기 좋네요.,False
hera_base_001_review_006,40대,F,건성,"주름, 모공",5,센슈얼 립스틱 발색이 고급스럽고 색감이 세련됩니다. 질감도 부드러워서 입술이 편안해요.,False
hera_base_001_review_007,40대,F,지성,"잔주름, 주름",4,선크림 백탁 없이 자연스럽게 발리고 차단 효과도 우수합니다. 데일리로 쓰기 좋네요.,False
hera_base_001_review_008,30대,F,민감성,"탄력저하, 다크서클",5,립 라이너로 입술 라인을 정교하게 그릴 수 있어요. 번짐 없이 오래 유지되어 좋습니다.,False
hera_base_001_review_009,40대,F,지성,"건조, 광채",5,립 글로스 촉촉하면서도 끈적임이 없어 좋습니다. 자연스러운 윤기가 예쁘게 표현되네요.,False
hera_base_001_review_010,30대,F,민감성,피부톤,5,립 글로스 촉촉하면서도 끈적임이 없어 좋습니다. 자연스러운 윤기가 예쁘게 표현되네요.,False
hera_base_001_review_011,40대,F,건성,수분부족,5,고객 미팅 전에 꼭 사용하는 제품입니다. 완성도 있는 피부 표현으로 신뢰감을 줘요.,True
hera_base_001_review_012,20대,F,지성,"수분부족, 건조",5,아이크림 눈가가 촉촉해지고 주름이 완화되는 느낌입니다. 지속적으로 사용할 예정이에요.,False
