review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
sulwhasoo_essence_002_review_001,50대,M,복합성,"주름, 건조, 피부노화",5,어머니 환갑 선물로 드렸는데 너무 좋아하십니다. 피부가 맑아지셨다며 감사해하세요.,True
sulwhasoo_essence_002_review_002,50대,F,복합성,"윤기부족, 광채",5,명절 선물용으로 구매했는데 반응이 정말 좋았습니다. 설화수는 역시 믿을 수 있어요.,True
sulwhasoo_essence_002_review_003,40대,F,복합성,"건조, 수분부족, 처짐",5,윤조 에센스 워터 피부 결을 부드럽게 정돈해주네요. 다음 단계 제품 흡수도 좋아진 느낌입니다.,False
sulwhasoo_essence_002_review_004,40대,F,복합성,"피부노화, 광채",5,중요한 행사 전 일주일간 집중 케어했습니다. 피부가 정말 좋아져서 칭찬 많이 받았어요.,True
sulwhasoo_essence_002_review_005,50대,F,민감성,"수분부족, 칙칙함",5,자음생 아이크림 눈가 주름이 완화되고 탄력이 생깁니다. 귀한 성분이 담긴 느낌이에요.,False
sulwhasoo_essence_002_review_006,30대,F,민감성,"처짐, 주름, 수분부족",5,윤조 에센스 로션 수분 밸런스를 잘 맞춰줍니다. 피부 장벽이 강화되는 느낌이에요.,False
sulwhasoo_essence_002_review_007,50대,F,민감성,"주름, 수분부족",5,진설 세럼 피부 노화 개선에 확실히 도움이 됩니다. 가격은 있지만 효과가 확실해요.,False
sulwhasoo_essence_002_review_008,40대,F,복합성,"탄력저하, 수분부족",5,자음생 라인 꾸준히 사용하니 피부 생명력이 살아나는 느낌입니다. 확실히 달라진 게 보여요.,False
sulwhasoo_essence_002_review_009,40대,F,민감성,"수분부족, 윤기부족",4,탄력 에센스 처진 피부가 탄탄해지는 걸 느낍니다. 한방 성분이 피부에 잘 맞는 것 같아요.,False
sulwhasoo_essence_002_review_010,50대,F,민감성,"피부노화, 건조",5,명절 선물용으로 구매했는데 반응이 정말 좋았습니다. 설화수는 역시 믿을 수 있어요.,True
sulwhasoo_essence_002_review_011,40대,M,모든피부,"건조, 칙칙함",5,진설 크림 피부 탄력이 눈에 띄게 좋아졌습니다. 고급스러운 향과 텍스처도 만족스러워요.,False
sulwhasoo_essence_002_review_012,50대,F,모든피부,"처짐, 탄력저하",5,자음생 라인 꾸준히 사용하니 피부 생명력이 살아나는 느낌입니다. 확실히 달라진 게 보여요.,False
