product_id,product_name,category,price,description,main_ingredients,target_skin_type,review_count
sulwhasoo_essence_001,윤조 에센스,에센스,185000,설화수를 대표하는 프리미엄 한방 에센스입니다. 귀한 자음단 성분이 피부 깊숙이 침투하여 건강한 피부 생명력을 회복시켜 드립니다. 50년 전통의 한방 발효 기술로 완성된 설화수의 정수를 경험하십시오.,"자음단, 인삼 사포닌, 오매",모든피부,45678
sulwhasoo_essence_002,자음생 에센스,에센스,220000,피부 본연의 생명력을 일깨우는 고농축 한방 에센스입니다. 산삼과 자음단이 피부 근본부터 케어하여 탄력 있고 윤기 나는 피부로 가꿔드립니다. 고객님의 피부에 귀한 생기를 선사합니다.,"산삼수, 자음단, 녹용",모든피부,32456
sulwhasoo_essence_003,진설 세럼,세럼,280000,설화수 최고의 안티에이징 세럼입니다. 희귀한 진설 성분이 피부 노화의 근본 원인에 작용하여 젊고 건강한 피부로 회복시켜 드립니다. 오랜 세월 축적된 한방 지혜의 결정체를 만나보십시오.,"진설, 산삼, 자음단",모든피부,28934
sulwhasoo_essence_004,탄력 에센스,에센스,165000,피부 탄력 회복에 집중한 한방 에센스입니다. 인삼과 녹용 성분이 피부 속 탄력 구조를 강화하여 처진 피부를 탄탄하게 끌어올려 드립니다. 나이를 거스르는 탄력의 비결을 경험하십시오.,"홍삼, 녹용, 자음단",복합성,21345
sulwhasoo_cream_001,자음생 크림,크림,250000,피부 생명력을 극대화하는 프리미엄 한방 크림입니다. 고귀한 한방 원료가 피부 장벽을 강화하고 깊은 영양을 공급하여 건강하고 윤기 있는 피부로 가꿔드립니다. 설화수가 선사하는 최고의 영양 케어입니다.,"산삼수, 자음단, 녹용",건성,34567
sulwhasoo_cream_002,진설 크림,크림,300000,설화수 최고급 안티에이징 크림입니다. 희소한 진설 성분과 산삼이 피부 노화를 근본부터 케어하여 젊음을 되찾아 드립니다. 최상의 한방 원료로 빚어낸 궁극의 럭셔리 스킨케어를 경험하십시오.,"진설, 산삼, 자음단",모든피부,29876
sulwhasoo_cream_003,탄력 크림,크림,180000,피부 탄력 개선에 특화된 한방 크림입니다. 인삼과 녹용의 귀한 영양이 피부 탄력을 회복시키고 처진 윤곽을 단단하게 끌어올려 드립니다. 고객님의 피부에 젊음의 탄력을 되찾아 드립니다.,"홍삼, 녹용, 자음단",복합성,25678
sulwhasoo_cream_004,윤결 크림,크림,160000,피부에 윤기와 생기를 부여하는 한방 크림입니다. 자음단과 오매 성분이 피부 수분 밸런스를 최적화하여 촉촉하고 윤기 나는 피부로 가꿔드립니다. 건강한 피부 윤기의 비밀을 만나보십시오.,"자음단, 오매, 백삼",건성,22345
sulwhasoo_skin_001,윤조 에센스 워터,스킨,78000,에센스 같은 진한 영양의 한방 스킨입니다. 세안 직후 피부를 부드럽게 정돈하고 수분과 영양을 공급하여 다음 단계 제품의 흡수를 높여드립니다. 피부 결을 매끄럽게 다듬는 첫 단계 케어입니다.,"자음단, 인삼수, 오매",모든피부,18234
sulwhasoo_skin_002,윤조 에센스 로션,로션,82000,피부에 부드럽게 스며드는 한방 로션입니다. 가볍고 촉촉한 제형이 피부 수분 균형을 맞춰주고 피부 장벽을 강화하여 건강한 피부를 유지시켜 드립니다. 스킨 다음 사용하는 필수 보습 단계입니다.,"자음단, 인삼수, 오매",복합성,16789
sulwhasoo_clean_001,순행 클렌징 폼,클렌징,52000,부드럽고 풍성한 거품으로 피부를 깨끗하게 정화하는 한방 클렌징 폼입니다. 한방 성분이 피부에 자극 없이 노폐물을 제거하고 세안 후에도 촉촉함을 유지시켜 드립니다. 피부 순환을 돕는 정화의 시작입니다.,"인삼수, 백삼, 감초",모든피부,14234
sulwhasoo_clean_002,순행 클렌징 오일,클렌징,65000,메이크업과 피부 노폐물을 완벽하게 용해하는 프리미엄 클렌징 오일입니다. 귀한 한방 오일이 피부에 영양을 공급하면서 깨끗하게 클렌징 해드립니다. 세안 후에도 촉촉하고 부드러운 피부를 경험하십시오.,"동백 오일, 자음단, 인삼 오일",건성,12456
sulwhasoo_special_001,자음생 아이 크림,아이크림,120000,섬세한 눈가 피부를 집중 케어하는 한방 아이 크림입니다. 산삼과 자음단이 눈가 주름과 다크서클을 개선하여 젊고 생기있는 눈매로 가꿔드립니다. 귀한 눈가에 특별한 영양을 선사합니다.,"산삼수, 자음단, 녹용",모든피부,15678
sulwhasoo_special_002,옥용 마스크,마스크,90000,피부에 집중적인 영양과 수분을 공급하는 한방 수면 마스크입니다. 밤사이 한방 성분이 깊숙이 흡수되어 다음날 맑고 윤기 나는 피부로 가꿔드립니다. 특별한 날을 위한 집중 케어 솔루션입니다.,"자음단, 산삼수, 백옥",모든피부,13890
sulwhasoo_special_003,자외선 차단 크림,선케어,75000,강력한 자외선으로부터 피부를 보호하는 한방 선케어입니다. SPF50+/PA++++의 높은 차단 지수와 함께 한방 성분이 피부를 진정시키고 영양을 공급합니다. 외부 환경으로부터 피부를 보호하는 필수품입니다.,"인삼수, 자음단, UV 필터",모든피부,11234
