product_id,product_name,category,price,description,main_ingredients,target_skin_type,review_count
iope_serum_001,바이오 에센스 인텐시브 컨디셔닝,에센스,68000,"아이오페의 시그니처 바이오 에센스입니다. 100% 발효 바이오 성분이 피부 근본부터 건강하게 가꾸며, 피부 장벽을 강화하여 외부 자극으로부터 보호합니다. 과학적으로 검증된 피부 컨디셔닝 솔루션입니다.","바이오 컨버전, 락토바실러스 발효물, 나이아신아마이드",모든피부,42567
iope_serum_002,레티놀 엑스퍼트 0.1%,세럼,85000,"0.1% 고농축 순수 레티놀이 피부 노화의 근본 원인에 작용합니다. 주름 개선 및 피부 재생 효과가 임상적으로 입증되었으며, 안정화 기술로 민감한 피부도 사용 가능합니다. 안티에이징 전문 케어 세럼입니다.","순수 레티놀 0.1%, 펩타이드, 세라마이드",복합성,28934
iope_serum_003,스템3 세럼,세럼,95000,식물 줄기세포 성분이 피부 탄력과 밀도를 집중 개선합니다. 3가지 스템 콤플렉스가 피부 자생력을 강화하여 젊고 건강한 피부로 회복시킵니다. 피부 과학 연구의 결과물입니다.,"스템3 콤플렉스, 펩타이드, 아데노신",모든피부,24678
iope_serum_004,하이알루론산 앰플,앰플,58000,5가지 분자량의 하이알루론산이 피부 표면부터 깊은 층까지 집중 보습합니다. 건조한 피부에 즉각적인 수분 공급과 장시간 보습 효과를 제공합니다. 피부 수분 충전 전문 앰플입니다.,"5중 하이알루론산, 판테놀, 베타글루칸",건성,31245
iope_serum_005,비타 C23 세럼,세럼,72000,"23% 고농축 순수 비타민C가 피부톤 개선과 항산화 효과를 제공합니다. 안정화된 포뮬러로 자극을 최소화하였으며, 피부 광채와 탄력을 동시에 개선합니다. 브라이트닝 전문 세럼입니다.","순수 비타민C 23%, 글루타치온, 나이아신아마이드",복합성,26890
iope_cream_001,바이오 에센스 인텐시브 크림,크림,75000,"바이오 에센스 라인의 프리미엄 크림입니다. 고농축 발효 성분이 피부에 깊은 영양과 보습을 제공하며, 피부 본연의 건강함을 회복시킵니다. 장시간 지속되는 보습 효과를 경험할 수 있습니다.","바이오 컨버전, 세라마이드, 스쿠알란",건성,22345
iope_cream_002,스템3 아이크림,아이크림,65000,"눈가 집중 케어를 위한 전문 아이크림입니다. 스템 콤플렉스가 눈가 주름과 탄력 저하를 개선하며, 다크서클과 부기를 완화시킵니다. 임상 테스트를 통해 효능이 검증되었습니다.","스템3 콤플렉스, 카페인, 펩타이드",모든피부,18567
iope_cream_003,더마 리페어 시카크림,크림,48000,민감하고 손상된 피부를 집중 케어하는 더마 크림입니다. 시카 성분과 세라마이드가 피부 장벽을 강화하고 진정 효과를 제공합니다. 피부과학적으로 설계된 민감 피부 전용 솔루션입니다.,"센텔라 아시아티카, 세라마이드, 판테놀",민감성,25678
iope_cream_004,UV 실드 선크림 EX,선케어,38000,"SPF50+/PA++++의 강력한 자외선 차단 효과를 제공합니다. 가볍고 산뜻한 제형으로 백탁 현상 없이 자연스럽게 밀착되며, 피부 진정 성분이 함유되어 민감한 피부도 사용 가능합니다.","UV 필터 복합체, 나이아신아마이드, 판테놀",모든피부,19234
iope_men_001,맨 바이오 에센스,남성케어,55000,"남성 피부 특성에 맞춘 전문 에센스입니다. 발효 바이오 성분이 피지와 수분 밸런스를 조절하며, 면도 후 민감해진 피부를 진정시킵니다. 남성 피부 과학 연구를 바탕으로 개발되었습니다.","바이오 컨버전, 카페인, 나이아신아마이드",복합성,16789
iope_men_002,맨 올인원 에센스,남성케어,42000,"바쁜 남성을 위한 올인원 스킨케어입니다. 한 번의 사용으로 스킨, 로션, 에센스의 기능을 모두 제공하며, 빠르게 흡수되어 산뜻한 마무리감을 선사합니다. 시간 절약형 스킨케어 솔루션입니다.","올인원 콤플렉스, 카페인, 세라마이드",모든피부,21234
iope_men_003,맨 에이지 리커버리 세럼,남성케어,78000,"남성 피부 노화를 집중 케어하는 안티에이징 세럼입니다. 펩타이드와 레티놀이 주름과 탄력 저하를 개선하며, 피부 밀도를 높여줍니다. 남성 전용 안티에이징 전문 제품입니다.","펩타이드 콤플렉스, 레티놀, 아데노신",복합성,13456
iope_men_004,맨 UV 프로텍터,남성케어,35000,남성 피부를 위한 고기능성 선케어입니다. SPF50+/PA++++의 강력한 차단력과 함께 피지 컨트롤 기능을 제공하여 산뜻한 피부를 유지시킵니다. 백탁 없이 자연스러운 마무리감을 제공합니다.,"UV 필터, 세바시드 파우더, 나이아신아마이드",지성,14890
iope_special_001,더마 리페어 마스크,마스크,32000,피부 진정과 회복을 위한 집중 케어 마스크입니다. 시카 성분과 펩타이드가 손상된 피부를 빠르게 진정시키고 피부 장벽을 강화합니다. 일주일에 2-3회 사용하여 피부 컨디션을 개선할 수 있습니다.,"센텔라 아시아티카, 펩타이드, 히알루론산",민감성,17890
iope_special_002,더마 리페어 토너,토너,30000,피부 pH 밸런스를 맞추고 피부 장벽을 강화하는 토너입니다. 세안 직후 사용하여 피부를 진정시키고 다음 단계 제품의 흡수를 높여줍니다. 저자극 포뮬러로 민감한 피부도 안심하고 사용 가능합니다.,"pH 밸런싱 콤플렉스, 판테놀, 베타글루칸",민감성,15234
