review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
laneige_mask_001_review_001,20대,M,복합성,"탄력저하, 다크서클",5,비타민 크림 피부톤이 환해지는 느낌이에요. 꾸준히 사용하니 효과가 보이네요.,False
laneige_mask_001_review_002,30대,F,민감성,칙칙함,5,에센스 발림이 좋고 흡수도 빨라요. 피부가 건강해지는 느낌이 들어서 계속 쓰게 돼요.,False
laneige_mask_001_review_003,20대,F,건성,"다크서클, 건조",5,워터뱅크 라인 쓰고 있는데 정말 촉촉해요. 건조한 피부에 딱 맞는 제품이에요.,False
laneige_mask_001_review_004,20대,F,건성,"피지, 다크서클",5,클렌징 오일 메이크업 잘 지워지고 세안 후에도 촉촉해요. 건조하지 않아서 좋아요.,False
laneige_mask_001_review_005,20대,F,모든피부,모공,5,회의 많은 날에도 화장 걱정 없어요. 지속력이 정말 뛰어나서 믿고 써요.,True
laneige_mask_001_review_006,20대,F,모든피부,붉은기,4,립 슬리핑 마스크 자기 전에 바르면 다음날 아침 입술이 정말 부드러워요. 향도 좋아요.,False
laneige_mask_001_review_007,30대,M,지성,수분부족,5,수분 크림 가볍게 발리는데 보습력은 좋아요. 끈적임 없어서 아침에 쓰기 좋네요.,False
laneige_mask_001_review_008,20대,F,민감성,"피지, 칙칙함",4,회의 많은 날에도 화장 걱정 없어요. 지속력이 정말 뛰어나서 믿고 써요.,True
laneige_mask_001_review_009,20대,F,지성,피지,5,출근 전에 바쁘게 화장하는데 이 쿠션은 빠르게 발라도 커버력이 좋아서 애용하고 있어요.,True
laneige_mask_001_review_010,30대,F,모든피부,"탄력저하, 건조",5,비타민 크림 피부톤이 환해지는 느낌이에요. 꾸준히 사용하니 효과가 보이네요.,False
laneige_mask_001_review_011,20대,F,복합성,"탄력저하, 수분부족",4,크림 스킨 리파이너 하나로 스킨케어 끝낼 수 있어서 간편해요. 시간 절약에 좋네요.,False
laneige_mask_001_review_012,20대,F,지성,모공,5,클렌징 오일 메이크업 잘 지워지고 세안 후에도 촉촉해요. 건조하지 않아서 좋아요.,False
