text_id,source,text_content,tone_features
iope_tone_001,product_desc,"바이오 테크놀로지가 만든 혁신. 100% 발효 바이오 성분이 피부 근본부터 건강하게 가꾸며, 과학적으로 검증된 효과를 제공합니다.","전문용어, 과학적_근거, 신뢰감, 혁신_강조"
iope_tone_002,product_desc,레티놀 엑스퍼트 0.1%로 경험하는 주름 개선 효과. 임상적으로 입증된 고농축 레티놀이 피부 재생을 촉진합니다.,"수치_데이터, 전문용어, 임상_검증, 과학적_표현"
iope_tone_003,product_desc,스템3 세럼의 식물 줄기세포 기술. 3가지 스템 콤플렉스가 피부 자생력을 강화하여 탄력과 밀도를 개선합니다.,"과학_기술_강조, 전문용어, 구체적_수치, 효능_명확"
iope_tone_004,product_desc,5중 하이알루론산 앰플이 제공하는 집중 보습 솔루션. 피부 표면부터 깊은 층까지 수분을 공급하여 건조함을 해결합니다.,"다층_구조_설명, 과학적_표현, 솔루션_제시, 전문성"
iope_tone_005,product_desc,비타 C23 세럼의 23% 고농축 순수 비타민C. 안정화 기술로 피부 자극을 최소화하며 브라이트닝 효과를 제공합니다.,"정확한_수치, 기술_강조, 전문용어, 효능_검증"
iope_tone_006,product_desc,더마 리페어 시카크림의 피부 장벽 강화 시스템. 센텔라 아시아티카와 세라마이드가 민감 피부를 과학적으로 케어합니다.,"시스템_개념, 성분명_정확, 과학적_접근, 전문성"
iope_tone_007,product_desc,UV 실드 선크림의 SPF50+/PA++++ 차단 기술. 강력한 자외선으로부터 피부를 보호하며 백탁 현상 없는 자연스러운 마무리를 제공합니다.,"정확한_수치, 기술_설명, 문제_해결형, 과학적"
iope_tone_008,product_desc,바이오 컨버전 기술이 적용된 에센스. 발효 과정을 통해 피부 흡수율을 높이고 피부 컨디셔닝 효과를 극대화합니다.,"기술_상세_설명, 과학적_프로세스, 전문용어, 효율_강조"
iope_tone_009,sns,아이오페 바이오 에센스로 시작하는 과학적 스킨케어. 피부 과학 연구 30년의 노하우가 담긴 시그니처 제품입니다.,"과학_강조, 연구_기간_명시, 전문성, SNS_적응"
iope_tone_010,sns,레티놀 0.1% 고농축 포뮬러의 검증된 효과. 주름 개선 기능성 화장품으로 임상 테스트를 완료했습니다.,"수치_명확, 기능성_인증, 임상_강조, 신뢰_구축"
iope_tone_011,sns,남성 피부 과학 연구로 탄생한 맨 라인. 피지와 수분 밸런스를 최적화하여 건강한 남성 피부를 완성합니다.,"타겟_연구_강조, 과학적_접근, 밸런스_개념, 전문성"
iope_tone_012,sns,스템3 콤플렉스 기술로 피부 탄력 개선. 3가지 식물 줄기세포 성분이 피부 밀도를 높이는 것으로 확인되었습니다.,"기술_세부_설명, 성분_구체화, 검증_표현, 과학적"
iope_tone_013,sns,더마 케어 솔루션으로 민감 피부 관리. 피부과학적으로 설계된 저자극 포뮬러가 피부 장벽을 강화합니다.,"솔루션_제시, 피부과학_용어, 설계_개념, 전문성"
iope_tone_014,promo,아이오페 바이오 에센스 기획 세트 출시. 과학적으로 검증된 피부 컨디셔닝 솔루션을 특별 구성으로 경험할 수 있습니다.,"과학_검증_강조, 솔루션_개념, 특별_구성, 전문성_유지"
iope_tone_015,promo,레티놀 라인 구매 시 스킨케어 키트 증정. 안티에이징 전문 케어를 시작하는 최적의 기회입니다.,"전문_케어_강조, 최적화_개념, 기능_명확, 효율적_표현"
