review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
iope_serum_002_review_001,30대,F,복합성,"모공, 탄력저하",5,바이오 크림 피부에 깊은 영양을 공급하는 느낌입니다. 보습 지속력이 좋아요.,False
iope_serum_002_review_002,30대,F,건성,민감함,5,바이오 크림 피부에 깊은 영양을 공급하는 느낌입니다. 보습 지속력이 좋아요.,False
iope_serum_002_review_003,40대,M,복합성,"잔주름, 모공",5,남자 피부는 피지가 많은데 이거 쓰니까 산뜻합니다. 보습도 적당해요.,False
iope_serum_002_review_004,30대,F,건성,"모공, 건조",5,레티놀 0.1% 주름 개선 효과가 입증된 만큼 확실합니다. 피부 재생이 느껴져요.,False
iope_serum_002_review_005,30대,F,지성,"다크서클, 탄력저하",5,더마 리페어 시카크림 민감한 피부가 진정되었습니다. 피부 장벽 강화에 좋아요.,False
iope_serum_002_review_006,30대,F,모든피부,"모공, 주름",5,레티놀 0.1% 주름 개선 효과가 입증된 만큼 확실합니다. 피부 재생이 느껴져요.,False
iope_serum_002_review_007,30대,F,지성,"건조, 피지",4,더마 마스크 피부 진정과 회복에 효과적입니다. 민감해진 날 사용하면 좋아요.,False
iope_serum_002_review_008,40대,F,건성,"탄력저하, 주름",5,더마 마스크 피부 진정과 회복에 효과적입니다. 민감해진 날 사용하면 좋아요.,False
iope_serum_002_review_009,30대,F,건성,"건조, 칙칙함",4,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_002_review_010,30대,F,지성,민감함,4,스템3 세럼 피부 탄력과 밀도가 개선되는 걸 느낍니다. 과학적 성분이 신뢰가 가요.,False
iope_serum_002_review_011,30대,F,지성,탄력저하,5,병원에서 근무하는데 민감한 피부 관리에 효과적입니다. 과학적 성분이 신뢰가 가요.,True
iope_serum_002_review_012,30대,F,건성,주름,5,비타 C23 세럼 피부톤이 환해지고 광채가 생깁니다. 고농축이라 효과가 빨라요.,False
