review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
hera_lip_002_review_001,40대,F,복합성,주름,5,중요한 프레젠테이션 날 이 쿠션으로 메이크업하면 완벽합니다. 저녁까지 지속력이 뛰어나요.,True
hera_lip_002_review_002,30대,F,복합성,피부톤,5,중요한 프레젠테이션 날 이 쿠션으로 메이크업하면 완벽합니다. 저녁까지 지속력이 뛰어나요.,True
hera_lip_002_review_003,40대,F,모든피부,"탄력저하, 잔주름",5,고객 미팅 전에 꼭 사용하는 제품입니다. 완성도 있는 피부 표현으로 신뢰감을 줘요.,True
hera_lip_002_review_004,40대,F,모든피부,"잔주름, 다크서클",5,중요한 미팅이 있을 때 항상 사용합니다. 완벽한 메이크업으로 자신감이 생겨요.,True
hera_lip_002_review_005,30대,F,민감성,모공,5,UV 쿠션 자외선 차단과 메이크업을 동시에 해결할 수 있어 실용적입니다. 수분감도 좋아요.,False
hera_lip_002_review_006,40대,F,민감성,"광채, 다크서클",5,비즈니스 자리에서도 화장이 무너지지 않아 안심됩니다. 프로페셔널한 인상을 줄 수 있어요.,True
hera_lip_002_review_007,20대,F,민감성,"모공, 다크서클",4,고객 미팅 전에 꼭 사용하는 제품입니다. 완성도 있는 피부 표현으로 신뢰감을 줘요.,True
hera_lip_002_review_008,40대,F,모든피부,"수분부족, 탄력저하",5,시그니아 세럼 사용 후 피부 탄력이 개선되는 느낌입니다. 고농축 성분이 효과적이에요.,False
hera_lip_002_review_009,30대,F,모든피부,"수분부족, 건조",5,비즈니스 자리에서도 화장이 무너지지 않아 안심됩니다. 프로페셔널한 인상을 줄 수 있어요.,True
hera_lip_002_review_010,30대,F,모든피부,"다크서클, 광채",5,클렌징 오일 메이크업이 깨끗하게 지워지면서도 피부가 당기지 않습니다. 편안한 사용감이에요.,False
hera_lip_002_review_011,30대,F,지성,건조,5,아이크림 눈가가 촉촉해지고 주름이 완화되는 느낌입니다. 지속적으로 사용할 예정이에요.,False
hera_lip_002_review_012,30대,F,모든피부,"광채, 건조",5,고객 미팅 전에 꼭 사용하는 제품입니다. 완성도 있는 피부 표현으로 신뢰감을 줘요.,True
