product_id,product_name,category,price,description,main_ingredients,target_skin_type,review_count
laneige_cream_001,워터뱅크 블루 히알루로닉 크림,수분크림,38000,피부 깊숙이 수분을 채워주는 라네즈 대표 수분 크림이에요. 블루 히알루로닉산이 피부 속 수분을 꽉 잡아주어 하루종일 촉촉함이 지속돼요. 건조한 피부를 가진 분들께 강력 추천드려요!,"블루 히알루로닉산, 세라마이드, 글리세린",건성,15678
laneige_cream_002,워터뱅크 수분 크림,수분크림,35000,가벼운 수분 크림을 찾는 분들께 딱이에요! 끈적임 없이 촉촉하게 스며들어 피부를 건강하게 가꿔줘요. 아침저녁으로 꾸준히 사용하시면 피부 수분 밸런스가 좋아지는 걸 느끼실 수 있어요.,"히알루로닉산, 아쿠아 세라마이드, 미네랄 워터",복합성,18234
laneige_cream_003,크림 스킨 리파이너,수분크림,32000,토너인데 크림처럼 촉촉한 신개념 스킨케어에요! 세안 직후 바로 발라주면 피부가 쫀쫀하게 정돈되면서 수분이 가득 채워져요. 바쁜 아침에 이것 하나면 끝!,"화이트 티 워터, 베타글루칸, 히알루론산",건성,22145
laneige_essence_001,워터뱅크 에센스,에센스,42000,진한 수분 에센스로 피부 속부터 촉촉하게 채워줘요. 피부에 닿는 순간 쫀쫀하게 흡수되면서 피부 장벽을 강화시켜주는 느낌이에요. 환절기 건조함이 걱정되시는 분들께 추천해요!,"블루 히알루로닉산, 스쿠알란, 세라마이드",건성,12456
laneige_essence_002,네오 파운데이션,에센스,25000,메이크업 전 피부 결을 매끄럽게 정돈해주는 세럼 타입 프라이머예요. 모공을 자연스럽게 커버하면서 피부톤도 화사하게 만들어줘서 파운데이션 발림이 훨씬 좋아져요!,"나이아신아마이드, 아데노신, 세라마이드",모든피부,9823
laneige_essence_003,글로우 앤 라스팅 세럼,에센스,38000,피부 광채를 끌어올려주는 부스터 세럼이에요. 피부 속 수분과 영양을 동시에 채워주어 생기있고 건강한 피부로 가꿔줘요. 메이크업 지속력도 높여주는 일석이조 아이템!,"히알루론산, 나이아신아마이드, 판테놀",복합성,11234
laneige_mask_001,립 슬리핑 마스크,마스크,23000,라네즈 하면 떠오르는 바로 그 제품! 자기 전에 발라주면 다음날 아침 입술이 정말 부드러워져요. 베리믹스 향이 은은하게 퍼져서 사용할 때마다 기분이 좋아져요. 입술 각질 고민이신 분들께 강추해요!,"베리믹스 콤플렉스, 시어버터, 비타민C",모든피부,34567
laneige_mask_002,워터 슬리핑 마스크,마스크,28000,밤새 피부에 수분을 충전해주는 수면 마스크에요! 자기 전에 크림처럼 발라주고 자면 다음날 아침 피부가 촉촉하고 탱탱해져요. 피부가 칙칙하고 건조한 날에 특히 효과적이에요.,"히말라야 핑크솔트, 히알루론산, 밤나무꿀",건성,19876
laneige_mask_003,시카 슬리핑 마스크,마스크,30000,예민해진 피부를 밤새 진정시켜주는 수면팩이에요. 시카 성분이 피부 자극을 완화시켜주고 피부 장벽을 강화해줘요. 트러블이 걱정되시는 분들께 추천드려요!,"포레스트 예스트, 병풀 추출물, 판테놀",민감성,16543
laneige_clean_001,크림 스킨 클렌저,클렌징,18000,세안 후에도 당김 없이 촉촉한 클렌징 폼이에요! 부드러운 크림 제형이 피부에 자극 없이 노폐물만 깨끗하게 제거해줘요. 건조한 피부를 가진 분들이 안심하고 쓸 수 있어요.,"화이트 티 워터, 글리세린, 아미노산 계면활성제",건성,14234
laneige_clean_002,퍼펙트 포어 클렌징 오일,클렌징,26000,진한 메이크업도 한번에 깨끗하게 지워주는 클렌징 오일이에요. 모공 속 노폐물까지 녹여내면서도 세안 후 촉촉함은 그대로 남아있어요. 이중 세안이 번거로우신 분들께 딱이에요!,"아르간 오일, 호호바 오일, 비타민E",복합성,11789
laneige_base_001,네오 쿠션 매트,베이스,44000,"라네즈 베스트셀러 쿠션이에요! 가볍게 발리는데 커버력은 확실하고, 지속력도 뛰어나서 저녁까지 화장이 무너지지 않아요. 매트한 마무리감을 원하시는 분들께 추천드려요!","나이아신아마이드, 세라마이드, 미네랄 파우더",지성,28934
laneige_base_002,네오 쿠션 글로우,베이스,44000,촉촉하고 광나는 피부 연출을 원하시는 분들께 완벽해요! 수분감 가득한 쿠션이 피부에 자연스러운 윤기를 더해줘요. 건조한 피부 타입이신 분들이 특히 만족하실 거예요!,"히알루론산, 글로우 오일, 나이아신아마이드",건성,25678
laneige_skin_001,화이트 듀 비타 캡슐 크림,미백크림,45000,칙칙한 피부톤을 환하게 만들어주는 비타민 캡슐 크림이에요! 멜라닌 생성을 억제해서 피부를 맑고 투명하게 가꿔줘요. 화사한 피부를 원하시는 분들께 강력 추천해요!,"비타민C, 나이아신아마이드, 글루타치온",모든피부,13456
laneige_skin_002,래디언-C 크림,미백크림,42000,순수 비타민C가 피부 깊숙이 흡수되어 피부 톤을 맑게 정돈해줘요. 아침에 사용하면 하루종일 생기있는 피부를 유지할 수 있어요. 피부 광채가 필요하신 분들께 딱이에요!,"순수 비타민C, 히알루론산, 베타글루칸",복합성,10234
