review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
laneige_base_001_review_001,20대,F,모든피부,"붉은기, 다크서클",5,워터 슬리핑 마스크 밤새 수분 충전해주는 느낌이에요. 아침 피부가 정말 촉촉합니다.,False
laneige_base_001_review_002,40대,F,모든피부,"다크서클, 탄력저하",5,데이트 전에 꼭 바르는 립 제품이에요. 입술이 촉촉하고 예뻐 보여서 좋아요.,True
laneige_base_001_review_003,20대,F,지성,"민감함, 모공",4,데이트 전에 꼭 바르는 립 제품이에요. 입술이 촉촉하고 예뻐 보여서 좋아요.,True
laneige_base_001_review_004,40대,M,모든피부,수분부족,5,에센스 발림이 좋고 흡수도 빨라요. 피부가 건강해지는 느낌이 들어서 계속 쓰게 돼요.,False
laneige_base_001_review_005,20대,F,모든피부,"모공, 피지",5,시카 슬리핑 마스크 피부 진정에 좋아요. 예민해진 피부가 편안해지는 느낌이에요.,False
laneige_base_001_review_006,20대,F,건성,주름,5,워터 슬리핑 마스크 밤새 수분 충전해주는 느낌이에요. 아침 피부가 정말 촉촉합니다.,False
laneige_base_001_review_007,30대,F,모든피부,"주름, 피지",4,클렌징 폼 순하고 부드러워요. 세안 후 당김 없이 촉촉해서 만족하고 있어요.,False
laneige_base_001_review_008,30대,F,복합성,"민감함, 수분부족",5,출근 전에 바쁘게 화장하는데 이 쿠션은 빠르게 발라도 커버력이 좋아서 애용하고 있어요.,True
laneige_base_001_review_009,20대,F,복합성,"수분부족, 칙칙함",5,워터뱅크 라인 쓰고 있는데 정말 촉촉해요. 건조한 피부에 딱 맞는 제품이에요.,False
laneige_base_001_review_010,20대,F,모든피부,"주름, 건조",5,네오 쿠션 커버력 좋고 지속력도 뛰어나요. 피부 표현이 자연스러워서 만족합니다.,False
laneige_base_001_review_011,30대,F,건성,"모공, 칙칙함",5,회의 많은 날에도 화장 걱정 없어요. 지속력이 정말 뛰어나서 믿고 써요.,True
laneige_base_001_review_012,20대,F,건성,"다크서클, 칙칙함",5,크림 스킨 리파이너 하나로 스킨케어 끝낼 수 있어서 간편해요. 시간 절약에 좋네요.,False
