product_id,brand,review_id,gender,age_group,skin_type,skin_concerns,attr1_name,attr1_value,attr2_name,attr2_value,attr3_name,attr3_value,review_text,category,good,bad,lifestyle
etude_skin_1,etude,etude_skin_1_review_001,남성,50대,지성,트러블,보습감,촉촉해요,지속력,오래가요,가성비,좋아요,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음,skin,"순해요, 진정효과, 화사해져요","끈적여요, 향강해요","학교, 데일리, 학생"
etude_skin_1,etude,etude_skin_1_review_002,여성,40대,지성,탄력,보습감,촉촉해요,흡수력,빨라요,가성비,좋아요,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음,skin,"촉촉해요, 발색좋아요, 가성비","지워져요, 번져요","학교, 데일리, 학생"
etude_skin_1,etude,etude_skin_1_review_003,여성,50대,민감성,칙칙함,사용감,가벼워요,흡수력,빨라요,민감성,순해서 좋아요,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음,skin,"순해요, 진정효과, 화사해져요","건조해요, 비싸요","데이트, 저녁약속, 외출"
etude_skin_1,etude,etude_skin_1_review_004,남성,50대,민감성,트러블,보습감,촉촉해요,향,향이 좋아요,가성비,좋아요,피부가 건성인데다 요즘 날씨까지 넘 건조하다보니 벌써부터 얼굴이 푸석푸석하니 당기더라구요. 이 제품 쓰고 많이 나아졌어요.,skin,"순해요, 진정효과, 화사해져요","건조해요, 비싸요","친구만남, MT, 여행"
etude_skin_1,etude,etude_skin_1_review_005,여성,30대,건성,수분부족,보습감,촉촉해요,지속력,오래가요,효과,만족해요,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음,skin,"흡수빨라요, 끈적임없어요, 향좋아요","건조해요, 비싸요","데이트, 저녁약속, 외출"
etude_skin_1,etude,etude_skin_1_review_006,여성,40대,건성,칙칙함,사용감,가벼워요,지속력,오래가요,효과,만족해요,아모레몰에서 주문할 때 하나씩 얻는 제품이에요! 예전부터 쓰고싶었는데 정말 만족합니다.,skin,"흡수빨라요, 끈적임없어요, 향좋아요","끈적여요, 향강해요","학교, 데일리, 학생"
etude_skin_1,etude,etude_skin_1_review_007,남성,30대,민감성,칙칙함,발색,선명해요,지속력,오래가요,민감성,순해서 좋아요,친구 만날때 쓰는데 친구들이 다 물어봐요ㅋㅋ 정말 예쁘다고,skin,"흡수빨라요, 끈적임없어요, 향좋아요","건조해요, 비싸요","친구만남, MT, 여행"
etude_skin_1,etude,etude_skin_1_review_008,여성,20대,건성,탄력,사용감,가벼워요,향,향이 좋아요,가성비,좋아요,요즘 날씨가 너무 더워서 피부에 열감이 있어 구매하게되었습니다. 사용감이 너무 좋아요!,skin,"지속력좋아요, 커버력, 가볍워요","건조해요, 비싸요","출근, 업무, 회사"
etude_skin_1,etude,etude_skin_1_review_009,남성,50대,지성,주름,보습감,촉촉해요,지속력,오래가요,민감성,순해서 좋아요,피부가 건성인데다 요즘 날씨까지 넘 건조하다보니 벌써부터 얼굴이 푸석푸석하니 당기더라구요. 이 제품 쓰고 많이 나아졌어요.,skin,"흡수빨라요, 끈적임없어요, 향좋아요","끈적여요, 향강해요","출근, 업무, 회사"
etude_skin_1,etude,etude_skin_1_review_010,여성,50대,복합성,주름,보습감,촉촉해요,지속력,오래가요,민감성,순해서 좋아요,피부가 건성인데다 요즘 날씨까지 넘 건조하다보니 벌써부터 얼굴이 푸석푸석하니 당기더라구요. 이 제품 쓰고 많이 나아졌어요.,skin,"지속력좋아요, 커버력, 가볍워요","지워져요, 번져요","데이트, 저녁약속, 외출"
etude_eye_2,etude,etude_eye_2_review_001,여성,30대,건성,트러블,사용감,가벼워요,지속력,오래가요,가성비,좋아요,MT 갈때 챙겨갔는데 대박 유용했어요! 밤새도 안지워져서 완전 신기함,eye,"순해요, 진정효과, 화사해져요","건조해요, 비싸요","데이트, 저녁약속, 외출"
etude_eye_2,etude,etude_eye_2_review_002,남성,40대,수분부족지성,트러블,사용감,가벼워요,지속력,오래가요,가성비,좋아요,학교 갈때 항상 이거 발라요! 시간 없을때도 빠르게 바를 수 있어서 좋음,eye,"지속력좋아요, 커버력, 가볍워요","지워져요, 번져요","학교, 데일리, 학생"
etude_eye_2,etude,etude_eye_2_review_003,여성,40대,건성,주름,사용감,가벼워요,지속력,오래가요,민감성,순해서 좋아요,친구 만날때 쓰는데 친구들이 다 물어봐요ㅋㅋ 정말 예쁘다고,eye,"지속력좋아요, 커버력, 가볍워요","끈적여요, 향강해요","학교, 데일리, 학생"
etude_eye_2,etude,etude_eye_2_review_004,남성,20대,민감성,모공,보습감,촉촉해요,향,향이 좋아요,효과,만족해요,친구 만날때 쓰는데 친구들이 다 물어봐요ㅋㅋ 정말 예쁘다고,eye,"지속력좋아요, 커버력, 가볍워요","지워져요, 번져요","학교, 데일리, 학생"
etude_eye_2,etude,etude_eye_2_review_005,남성,10대,지성,탄력,사용감,가벼워요,향,향이 좋아요,효과,만족해요,아모레몰에서 주문할 때 하나씩 얻는 제품이에요! 예전부터 쓰고싶었는데 정말 만족합니다.,eye,"지속력좋아요, 커버력, 가볍워요","건조해요, 비싸요","데이트, 저녁약속, 외출"
etude_eye_2,etude,etude_eye_2_review_006,여성,50대,민감성,모공,보습감,촉촉해요,흡수력,빨라요,민감성,순해서 좋아요,아모레몰에서 주문할 때 하나씩 얻는 제품이에요! 예전부터 쓰고싶었는데 정말 만족합니다.,eye,"흡수빨라요, 끈적임없어요, 향좋아요","끈적여요, 향강해요","데이트, 저녁약속, 외출"
etude_eye_2,etude,etude_eye_2_review_007,여성,30대,복합성,탄력,보습감,촉촉해요,흡수력,빨라요,가성비,좋아요,요즘 날씨가 너무 더워서 피부에 열감이 있어 구매하게되었습니다. 사용감이 너무 좋아요!,eye,"흡수빨라요, 끈적임없어요, 향좋아요","지워져요, 번져요","학교, 데일리, 학생"
etude_eye_2,etude,etude_eye_2_review_008,남성,30대,민감성,탄력,보습감,촉촉해요,향,향이 좋아요,가성비,좋아요,아모레몰에서 주문할 때 하나씩 얻는 제품이에요! 예전부터 쓰고싶었는데 정말 만족합니다.,eye,"촉촉해요, 발색좋아요, 가성비","지워져요, 번져요","데이트, 저녁약속, 외출"
