text_id,source,text_content,tone_features
laneige_tone_001,product_desc,"OO님의 피부 고민, 라네즈가 함께해요. 바쁜 아침에도 간편하게 촉촉 수분 케어! 하루종일 건강한 피부를 유지할 수 있어요.","~해요_말투, 공감형_표현, 친근함, 실용적_강조"
laneige_tone_002,product_desc,립 슬리핑 마스크로 자는 동안 입술 케어 완성! 다음날 아침 부드러운 입술을 느껴보세요. 베리믹스 향이 기분까지 좋게 만들어줘요.,"~해요_말투, 수면_케어_강조, 친근한_제안"
laneige_tone_003,product_desc,"네오 쿠션으로 완벽한 피부 표현을 경험하세요. 가볍게 발리는데 커버력은 확실하고, 지속력도 뛰어나서 저녁까지 화장이 무너지지 않아요.","~해요_말투, 제품_효능_강조, 실용적"
laneige_tone_004,product_desc,워터뱅크 라인으로 피부 속부터 촉촉하게 채워보세요! 건조한 환절기 피부도 이제 걱정 없어요. 블루 히알루론산이 수분을 꽉 잡아줘요.,"~해요_말투, 계절_연관, 성분_강조, 친근함"
laneige_tone_005,product_desc,크림 스킨 리파이너는 토너인데 크림처럼 촉촉해요. 세안 직후 바로 사용하면 피부가 쫀쫀하게 정돈되면서 수분이 가득 채워져요.,"~해요_말투, 혁신성_강조, 사용법_안내, 친근함"
laneige_tone_006,product_desc,워터 슬리핑 마스크로 밤사이 수분 충전! 아침에 일어나면 피부가 촉촉하고 탱탱해진 걸 느낄 수 있어요. 피부가 칙칙한 날 특히 좋아요.,"~해요_말투, 수면_케어, 효과_강조, 상황_공감"
laneige_tone_007,product_desc,클렌징 후에도 당김 없이 촉촉한 크림 스킨 클렌저를 만나보세요. 건조한 피부를 가진 분들이 안심하고 쓸 수 있는 순한 처방이에요.,"~해요_말투, 타겟_고객_명시, 순함_강조, 친근함"
laneige_tone_008,product_desc,네오 파운데이션으로 메이크업 전 피부를 매끄럽게 정돈해보세요. 모공 커버와 피부톤 보정이 한번에 돼서 파운데이션 발림이 훨씬 좋아져요.,"~해요_말투, 다기능_강조, 실용적, 효과_구체화"
laneige_tone_009,sns,"오늘도 라네즈와 함께 시작해요! 바쁜 아침, 크림 스킨 하나로 스킨케어 끝. 간편하면서도 효과는 확실해서 매일 쓰게 돼요 :)","~해요_말투, 일상_공유형, 간편함_강조, 이모티콘_절제"
laneige_tone_010,sns,립 슬리핑 마스크 없이는 못 자요! 입술 각질 고민이신 분들께 진심으로 추천드려요. 한 번 써보시면 왜 베스트셀러인지 아실 거예요.,"~해요_말투, 추천_톤, 공감형, 베스트셀러_언급"
laneige_tone_011,sns,네오 쿠션 글로우 사용 중인데 피부 표현이 정말 자연스러워요. 촉촉한 광채 피부를 원하시는 분들께 딱이에요! 건조한 피부 타입에 특히 좋아요.,"~해요_말투, 사용_후기형, 타겟_명시, 친근한_추천"
laneige_tone_012,sns,환절기 건조함 때문에 고민이셨죠? 워터뱅크 에센스로 피부 속 수분 채워주세요. 피부가 건강해지는 게 느껴져서 계속 쓰게 돼요.,"~해요_말투, 고민_공감형, 계절_연관, 지속_사용_유도"
laneige_tone_013,sns,시카 슬리핑 마스크 덕분에 예민한 피부도 진정됐어요! 트러블 걱정되시는 분들 한번 써보세요. 피부 장벽 강화에 도움이 돼요.,"~해요_말투, 개인_경험_공유, 추천형, 효능_강조"
laneige_tone_014,promo,라네즈 베스트 기획전! 인기 제품을 특별한 가격으로 만나보세요. 이번 기회에 평소 고민하던 제품들을 경험해보실 수 있어요. 기간 한정 혜택이니 서둘러주세요!,"~해요_말투, 프로모션_안내, 긴급성_적절, 친근한_권유"
laneige_tone_015,promo,워터뱅크 라인 구매 시 미니어처 증정 이벤트 진행 중이에요! 라네즈의 수분 케어를 더 알뜰하게 경험하실 수 있는 기회예요. 선착순이니 놓치지 마세요.,"~해요_말투, 이벤트_안내, 혜택_강조, 실용적_어필"
