text_id,source,text_content,tone_features
etude_tone_001,product_desc,새로 나온 립 틴트 완전 예뻐요💕 촉촉하게 발리는데 지속력도 굿~! 학교 갈 때 쓰기 딱👍,"이모티콘_빈번, 반말, 의성어_많음, 트렌디한_신조어"
etude_tone_002,product_desc,플레이 컬러 아이즈로 매일 다른 메이크업 완성✨ 매트부터 글리터까지 다 있어서 완전 꿀템! 데일리로 쓰기 찐 좋아요🎀,"이모티콘_빈번, 반말, 신조어_사용, 귀여운_표현"
etude_tone_003,product_desc,쿠션 파우더가 모공 쏙쏙 커버해줘요! 가볍게 발리는데 커버력은 완전 대박👏 피부 보정 끝판왕~,"이모티콘_빈번, 반말, 의태어_많음, 과장된_표현"
etude_tone_004,product_desc,클렌징 폼 거품이 몽글몽글 엄청 부드러워요💙 세안 후에도 당김 없이 촉촉! 민감한 피부도 OK~,"이모티콘_빈번, 반말, 의태어_사용, 영문_혼용"
etude_tone_005,product_desc,마스카라 하나로 속눈썹 완전 풍성해져요😍 뭉침 없이 깔끔하게 발리고 컬도 오래 유지돼서 완전 만족!,"이모티콘_빈번, 반말, 과장된_감탄사, 귀여운_톤"
etude_tone_006,product_desc,아이라이너 펜촉이 진짜 얇아서 초보도 쉽게 그을 수 있어요✏️ 번짐 없고 지속력 갑! 가성비도 최고👍,"이모티콘_빈번, 반말, 신조어_사용, 실용적_강조"
etude_tone_007,product_desc,순정 수분 크림 텍스처가 겔처럼 쫀쫀해요💧 끈적임 없이 쏙쏙 흡수되고 하루종일 촉촉 유지! 여름에 쓰기 완벽~,"이모티콘_빈번, 반말, 의성어_많음, 계절_연관"
etude_tone_008,product_desc,베이킹 파우더 클렌징이 모공 속 노폐물까지 싹 제거해줘요🧼 세안 후 피부가 반짝반짝 깨끗! 찐템 인정💖,"이모티콘_빈번, 반말, 의태어_사용, 신조어"
etude_tone_009,sns,오늘 메이크업 뭐해? 에뛰드 신상 팔레트로 데일리 메이크업 완성🎨✨ 컬러감 장난 아니야~ #에뛰드 #플레이컬러,"이모티콘_빈번, 반말, 해시태그_사용, SNS_특화"
etude_tone_010,sns,픽싱 틴트 진짜 마스크에 안 묻어나요😷💕 하루종일 입술 색 그대로! 이거 찐 레전드템 아니냐구~ 다들 써봐!,"이모티콘_빈번, 반말, 과장된_표현, 추천_톤"
etude_tone_011,sns,에뛰드 쿠션 쓰니까 피부가 완전 도자기 피부💎 커버력도 좋고 지속력도 좋고! 친구들한테 막 자랑 중ㅋㅋ,"이모티콘_빈번, 반말, 자랑_톤, 웃음_표현"
etude_tone_012,sns,대박 이 립스틱 발색 미쳤어요💄🔥 사진으로 봐도 예쁜데 실물은 진짜 10배 더 예뻐! 품절 각ㅠㅠ,"이모티콘_빈번, 반말, 과장된_감탄, 유행어_사용"
etude_tone_013,sns,눈 화장 처음 해보는 친구들 에뛰드 아이라이너 추천!✨ 그리기 진짜 쉽고 안 번져서 완전 강추👍 입문용으로 최고~,"이모티콘_빈번, 반말, 추천_톤, 친근한_조언"
etude_tone_014,promo,🎉특가 이벤트🎉 지금 바로 에뛰드 베스트템 최대 30% 할인! 놓치면 후회할걸? 얼른 달려💨 선착순 마감 주의⚠️,"이모티콘_빈번, 반말, 긴급성_강조, 행동_유도"
etude_tone_015,promo,신학기 준비 완료💕 에뛰드 립 제품 2개 사면 1개 더! 친구랑 나눠 써도 좋고 혼자 다 써도 좋고~ 이 기회 놓치지 마세요🎁,"이모티콘_빈번, 반말, 프로모션_강조, 선택지_제시"
