review_id,age_group,gender,skin_type,skin_concerns,rating,review_text,is_lifestyle_rich
sulwhasoo_cream_001_review_001,50대,F,모든피부,"피부노화, 수분부족",5,옥용 마스크 밤에 바르고 자면 다음날 피부가 정말 윤기 나고 촉촉합니다. 특별 관리용으로 좋아요.,False
sulwhasoo_cream_001_review_002,40대,F,민감성,"처짐, 수분부족",5,중요한 행사 전 일주일간 집중 케어했습니다. 피부가 정말 좋아져서 칭찬 많이 받았어요.,True
sulwhasoo_cream_001_review_003,50대,F,민감성,"주름, 탄력저하, 처짐",5,진설 크림 피부 탄력이 눈에 띄게 좋아졌습니다. 고급스러운 향과 텍스처도 만족스러워요.,False
sulwhasoo_cream_001_review_004,40대,F,복합성,"수분부족, 피부노화",4,중요한 행사 전 일주일간 집중 케어했습니다. 피부가 정말 좋아져서 칭찬 많이 받았어요.,True
sulwhasoo_cream_001_review_005,30대,F,모든피부,"탄력저하, 처짐, 광채",5,명절 선물용으로 구매했는데 반응이 정말 좋았습니다. 설화수는 역시 믿을 수 있어요.,True
sulwhasoo_cream_001_review_006,30대,F,건성,"건조, 칙칙함, 잔주름",5,중요한 행사 전 일주일간 집중 케어했습니다. 피부가 정말 좋아져서 칭찬 많이 받았어요.,True
sulwhasoo_cream_001_review_007,50대,F,복합성,"피부노화, 주름",5,탄력 에센스 처진 피부가 탄탄해지는 걸 느낍니다. 한방 성분이 피부에 잘 맞는 것 같아요.,False
sulwhasoo_cream_001_review_008,40대,F,건성,"피부노화, 칙칙함",5,자음생 아이크림 눈가 주름이 완화되고 탄력이 생깁니다. 귀한 성분이 담긴 느낌이에요.,False
sulwhasoo_cream_001_review_009,50대,F,복합성,"수분부족, 건조, 광채",5,어머니 환갑 선물로 드렸는데 너무 좋아하십니다. 피부가 맑아지셨다며 감사해하세요.,True
sulwhasoo_cream_001_review_010,40대,F,모든피부,"건조, 칙칙함, 탄력저하",5,탄력 크림 피부에 깊은 영양을 공급하는 느낌입니다. 윤기 있고 건강한 피부로 가꿔지네요.,False
sulwhasoo_cream_001_review_011,50대,F,모든피부,"잔주름, 건조",5,진설 크림 피부 탄력이 눈에 띄게 좋아졌습니다. 고급스러운 향과 텍스처도 만족스러워요.,False
sulwhasoo_cream_001_review_012,50대,F,민감성,"윤기부족, 칙칙함, 잔주름",5,윤조 에센스 사용한 지 한 달 됐는데 피부 결이 많이 개선되었습니다. 자음단 성분이 효과적이에요.,False
